NAME,VECTOR,APTITUDE
chb12_06,"[array([49.        ,  8.83854805,  0.98523947]), array([25.        ,  3.42053458,  0.89210841]), array([41.        ,  8.02450099,  0.92134452]), array([49.        , 10.47841313,  0.92917038]), array([23.        ,  0.71582732,  0.94488543]), array([43.        ,  4.59679202,  0.91473008]), array([21.        , 29.89060655,  0.84378009]), array([19.        ,  4.30658615,  0.80491081]), array([19.        ,  3.65915672,  0.9071889 ]), array([43.        , 18.66244584,  0.91234224]), array([57.        , 10.53145191,  0.94103029]), array([91.        , 14.39501594,  0.97501189]), array([77.        , 16.27133075,  0.97502531]), array([45.        ,  2.89498689,  0.94226754]), array([33.        ,  1.54941851,  0.90661827]), array([89.        , 44.65290657,  0.99216384]), array([35.        ,  3.64142013,  0.89034961]), array([19.        , 13.16429613,  0.82169862])]","[13.89104838294892, 17.038418963577158, 11.612039968494447, 13.735805787365438, 15.061072929787793, 16.158960569747997, 7.318782667110694, 17.81830353286744, 17.325528492188724, 14.81357326616581, 12.133707472430126, 10.131852258722052, 12.687390574956726, 14.210849038610505, 14.561135098727295, -1.1839735159532558, 17.914800648723734, 13.177876118515348]"
chb05_17,"[array([19.        , 10.89864259,  0.86841916]), array([31.        ,  4.76593893,  0.9057915 ]), array([21.        , 26.23933849,  0.94934112]), array([45.        , 27.48365105,  0.93072681]), array([21.        , 19.44429131,  0.82616449]), array([71.        ,  9.72331105,  0.95105134]), array([23.        ,  7.98275021,  0.92705986]), array([87.        , 38.82043784,  0.96393875]), array([79.        , 15.97607727,  0.95961531]), array([23.        , 14.50506353,  0.98112113]), array([21.        , 10.19507547,  0.98261415]), array([23.        , 13.60813935,  0.95010848]), array([7.        , 0.6677965 , 1.03206685]), array([41.        ,  3.63904222,  1.02490849]), array([45.        ,  8.66181353,  1.01986312]), array([85.        ,  0.18529296,  0.98300825]), array([21.        , 14.12595385,  0.85663336]), array([17.        ,  5.29408243,  0.92402505])]","[17.74615071609738, 19.07879428749747, 9.075585271344611, 8.796904013246618, 5.702840527838572, 12.55435164804998, 15.907323065766137, 6.008952609165274, 8.06668981081901, 9.717730905942796, 13.492622970778019, 12.787739445451102, 5.08846194037795, 11.469000863591924, 10.187094823582765, 13.338539482975953, 18.637469173456505, 15.964178766328509]"
chb21_22,"[array([41.        , 29.88137279,  0.90895473]), array([37.        ,  8.89541699,  1.00814199]), array([ 3.       , 76.941632 ,  1.4656233]), array([39.        ,  2.46963568,  0.9112409 ]), array([33.        ,  3.83356079,  0.89256621]), array([47.        ,  4.17361849,  0.9794226 ]), array([55.        ,  0.91175009,  0.90424641]), array([65.        ,  0.53906724,  0.98129459]), array([73.        , 10.81147495,  0.93802123]), array([27.        , 59.40290227,  0.9252456 ]), array([65.        , 74.28488913,  1.24176226]), array([53.        ,  7.67508703,  1.06747981]), array([61.        ,  0.60140808,  0.93786357]), array([33.        ,  9.5093375 ,  0.99272883]), array([37.        ,  0.2408865 ,  0.86020849]), array([13.        , 15.56402614,  1.31943504]), array([73.        ,  7.20974317,  1.06346196]), array([23.        , 78.31128204,  1.7040469 ])]","[6.577522298333742, 9.901795260277881, 0.0, 3.0271990939893683, 14.67258882184977, 4.581308002782928, 2.374337486830719, 3.0819643295389056, 12.080734020227911, 0.0, 0.0, -8.698956634262, 15.384618722371386, 15.150799238190626, 19.881988074420352, 0.8785047242093752, 6.606541121543127, 0.0]"
chb19_28,"[array([61.        ,  6.2597164 ,  1.09144666]), array([91.        ,  0.84791054,  0.95011984]), array([5.50000000e+01, 2.05059871e-02, 9.47402722e-01]), array([55.        ,  4.74715768,  1.03410637]), array([21.        ,  1.01621227,  0.93155904]), array([27.        ,  7.68901623,  0.97665293]), array([43.        , 76.54442533,  1.03115464]), array([25.        ,  7.38907926,  1.15506182]), array([21.        ,  5.44416326,  0.9922538 ]), array([37.        ,  5.98745   ,  1.19504964]), array([25.        ,  1.94478344,  1.04898683]), array([41.        ,  7.29548703,  1.08807984]), array([53.        ,  6.02671698,  1.09771002]), array([4.90000000e+01, 4.83055652e-02, 1.06910571e+00]), array([43.        , 99.27575263,  1.33216515]), array([35.        ,  3.65305661,  0.88675032]), array([31.        ,  8.56064401,  1.07613914]), array([31.        ,  2.84764665,  1.20881428])]","[4.373667174363676, 6.797311209905713, 8.135324155891748, 5.671041796962379, 7.712559539581116, 3.322625095806424, 0.0, 6.6175824244105295, 2.946821205503658, 3.2532672944094547, 5.975478745545767, 3.668002592665358, 1.9502840150018943, 2.542755429636138, 0.0, 2.3067047504720923, 3.2594948630298974, 4.310246854525498]"
chb03_34,"[array([37.        ,  5.46527187,  1.00206996]), array([61.        ,  3.25094404,  0.95195108]), array([33.        , 11.15899442,  1.12758229]), array([53.        ,  0.35685061,  1.07842186]), array([47.        ,  9.20703841,  0.9640157 ]), array([73.        , 13.44064498,  1.01022362]), array([81.        ,  3.53140918,  1.10201394]), array([75.        ,  6.99897319,  0.97184566]), array([ 9.        , 50.02234015,  1.35961763]), array([25.        , 17.90061499,  1.02801984]), array([97.        ,  3.07881812,  0.97616022]), array([31.        , 12.1576153 ,  1.19661422]), array([29.        , 13.79949901,  1.03451457]), array([51.        , 23.56599345,  0.97513383]), array([43.        ,  2.14876043,  1.09737459]), array([31.        , 14.70337533,  1.00728709]), array([27.        ,  2.93144331,  1.03943594]), array([53.        ,  6.55776256,  0.91924417])]","[4.325892187209869, 4.474632806930975, 6.157176794417943, 5.4560651953379855, 5.8876589093323854, 9.575770821232354, 3.632801097331842, 2.438551065459709, 0.0, 11.08420842541892, 3.358098100824896, 3.347166064631571, 8.185711094486233, 11.18573354932579, 6.617021094382788, 4.910719026466835, 3.3432920077490405, 14.014998804918763]"
chb14_18,"[array([49.        ,  1.22907044,  1.01857038]), array([81.        ,  3.3488129 ,  0.95285129]), array([23.        ,  0.4691913 ,  0.85923114]), array([19.        , 12.17255428,  0.88772533]), array([53.        ,  8.28531254,  0.94753143]), array([19.        ,  3.01153778,  0.96213638]), array([87.        ,  5.62775806,  1.01604041]), array([21.        ,  5.36680614,  0.95394028]), array([23.        ,  6.30421572,  0.85889796]), array([33.        ,  9.26284636,  1.01816092]), array([53.        ,  8.08439608,  1.01441764]), array([33.        ,  2.04813318,  1.02651902]), array([21.        ,  4.05299046,  1.10249469]), array([57.        ,  2.56059615,  0.86107707]), array([61.        ,  0.94019981,  0.92738396]), array([17.        ,  5.33687896,  0.87488932]), array([53.        ,  3.89624755,  1.00490477]), array([25.        ,  5.98614434,  0.93497585])]","[7.396190806062142, 6.26163629026, 12.161554765250305, 15.012629857112945, 11.985011304022777, 9.39206551714541, 6.457447596214348, 9.122845461680557, 15.50932497416682, 7.323325185272267, 10.246502143506435, 10.049626279172085, 6.421798328235775, 5.8748931586857625, 6.668251192965697, 16.871359859492173, 8.729139016760842, 5.767090547230463]"
chb10_27,"[array([31.        , 11.49074429,  0.96691429]), array([53.        , 12.77009271,  0.93240563]), array([43.        , 11.02740021,  0.90273194]), array([13.        ,  2.5958082 ,  0.85926768]), array([25.        , 35.257704  ,  0.89966178]), array([25.        ,  6.05549824,  0.86554433]), array([35.        , 27.75408052,  0.90715418]), array([13.        , 35.20644202,  0.83683166]), array([17.        , 26.3199643 ,  0.81619968]), array([67.        ,  2.15604955,  0.93587548]), array([31.        ,  6.3698892 ,  1.00812992]), array([23.        ,  2.52276021,  0.99454171]), array([27.        ,  8.01475414,  0.87058301]), array([37.        ,  3.87877416,  0.9638254 ]), array([25.        ,  2.88264116,  1.00478405]), array([55.        , 14.1243698 ,  0.97108274]), array([63.        ,  7.90595861,  0.94173057]), array([33.        , 14.59091499,  0.88728598])]","[15.512225261462607, 13.079890319992726, 17.29263658810169, 14.662748449880285, 5.8710673902734705, 12.18387925300178, 13.328465366206277, 10.075877787467975, 10.25949743322167, 15.38331856425873, 12.763780313450155, 11.875951806733354, 15.767728077242202, 15.78757180335413, 13.497766927153238, 10.268665761665034, 14.588595248562077, 18.002217849196814]"
chb16_11,"[array([51.        ,  4.85290447,  0.94776178]), array([37.        , 10.45827783,  0.97289173]), array([55.        , 23.11744969,  1.02537848]), array([35.        , 14.37514563,  1.06068299]), array([17.        , 17.31729988,  0.81257859]), array([85.        ,  6.16530575,  1.05394724]), array([23.    , 53.272 ,  1.5512]), array([ 5.      , 24.968   ,  1.623392]), array([59.        , 71.7077196 ,  0.90558054]), array([49.        ,  3.65161309,  1.01787613]), array([75.        , 63.07946752,  1.12558212]), array([41.        ,  4.49750159,  1.13879801]), array([79.        ,  3.33717501,  0.94322982]), array([29.        ,  5.33562508,  0.9311159 ]), array([45.        , 10.76234231,  0.89095508]), array([21.        ,  3.00347708,  1.0657005 ]), array([39.        ,  3.09241617,  1.00780628]), array([23.        , 63.7435374 ,  1.47701987])]","[13.159248667867452, 11.272744047766931, 9.947514659759925, 11.735281003294357, 10.923123107452843, 3.0939249314552617, 0.0, 0.0, 0.0, 3.61932350169391, 0.0, 2.551828707373382, 9.521006527979717, 13.815690890631542, 10.386130482218054, 9.150640441898467, 3.0759613848273664, 0.0]"
chb03_03,"[array([35.        ,  0.59920547,  0.92076326]), array([75.        , 23.41862248,  0.95357473]), array([29.        ,  2.68951123,  0.92120497]), array([17.        , 11.04793525,  0.93346954]), array([19.        ,  1.10302613,  0.88844322]), array([25.        ,  2.33125221,  1.0165179 ]), array([27.        ,  0.85169624,  1.0430504 ]), array([79.        ,  4.95252362,  1.00299308]), array([15.        ,  9.16966302,  0.83202963]), array([29.        , 10.04907793,  1.03913547]), array([29.        , 79.        ,  1.24162904]), array([15.        ,  0.68793113,  0.83319922]), array([65.        , 11.65123159,  0.94493665]), array([25.        ,  8.8420629 ,  0.90107526]), array([25.        ,  7.09584932,  0.99090218]), array([15.        ,  2.68574864,  0.97760206]), array([25.        , 12.00894667,  1.0772558 ]), array([35.        , 17.14752489,  1.0358764 ])]","[11.774266424196833, 6.462708173557672, 11.072174340025363, 8.781751630734739, 12.796331124789424, 7.871702200425736, 3.7812813120881605, 3.7636655595175297, 13.330668635202684, 4.492327867324326, 0.0, 8.118667183547238, 9.374764377446773, 11.494482120777798, 11.319418980278364, 12.066005018562976, 5.640603794856009, 6.285701859219101]"
chb15_15,"[array([91.        ,  8.16320533,  0.96466894]), array([47.        ,  1.4715585 ,  0.95559655]), array([19.        , 10.96659383,  0.93125404]), array([37.        ,  2.72895582,  0.99766402]), array([57.        , 18.49584125,  0.91886149]), array([63.        ,  9.98602656,  0.97783421]), array([33.        ,  0.81733983,  1.00094004]), array([19.        ,  6.04820333,  0.88557022]), array([45.        , 96.347315  ,  0.91964243]), array([39.        , 14.83151144,  0.93580322]), array([23.        , 12.61999449,  0.97949844]), array([23.        , 11.95596711,  0.89070654]), array([73.        ,  2.66520967,  0.95056849]), array([35.        ,  6.27690267,  0.85835326]), array([23.        ,  5.69897379,  0.81626205]), array([59.        , 13.36472386,  0.89249265]), array([43.        ,  0.11875337,  0.99994979]), array([27.        ,  8.87550295,  0.94899957])]","[9.102351395007593, 13.502578376256334, 14.67685039381985, 12.610191942380185, 6.453583362535946, 12.291452920267593, 15.200363691030201, 13.552889579199693, 0.0, 13.792292976588755, 13.822356577102457, 15.604490455126061, 13.46632984737371, 14.684212578047006, 16.892756808067, 10.31255886290614, 13.884412197091105, 11.302196483038953]"
